#1 
double data(35040,2)
0.000000000000000000e+00 2.678571428571428328e+02
9.000000000000000000e+02 2.407142857142857224e+02
1.800000000000000000e+03 2.814285714285714448e+02
2.700000000000000000e+03 2.678571428571428328e+02
3.600000000000000000e+03 2.542857142857142776e+02
4.500000000000000000e+03 2.814285714285714448e+02
5.400000000000000000e+03 2.678571428571428328e+02
6.300000000000000000e+03 2.542857142857142776e+02
7.200000000000000000e+03 2.814285714285714448e+02
8.100000000000000000e+03 2.678571428571428328e+02
9.000000000000000000e+03 2.542857142857142776e+02
9.900000000000000000e+03 2.814285714285714448e+02
1.080000000000000000e+04 2.542857142857142776e+02
1.170000000000000000e+04 2.542857142857142776e+02
1.260000000000000000e+04 2.814285714285714448e+02
1.350000000000000000e+04 2.542857142857142776e+02
1.440000000000000000e+04 0.000000000000000000e+00
1.530000000000000000e+04 0.000000000000000000e+00
1.620000000000000000e+04 1.428571428571428648e+01
1.710000000000000000e+04 1.364285714285714164e+02
1.800000000000000000e+04 2.035714285714285836e+02
1.890000000000000000e+04 2.407142857142857224e+02
1.980000000000000000e+04 2.678571428571428328e+02
2.070000000000000000e+04 2.407142857142857224e+02
2.160000000000000000e+04 2.542857142857142776e+02
2.250000000000000000e+04 2.678571428571428328e+02
2.340000000000000000e+04 2.271428571428571388e+02
2.430000000000000000e+04 2.542857142857142776e+02
2.520000000000000000e+04 2.678571428571428328e+02
2.610000000000000000e+04 2.271428571428571388e+02
2.700000000000000000e+04 2.678571428571428328e+02
2.790000000000000000e+04 2.542857142857142776e+02
2.880000000000000000e+04 2.242857142857142776e+02
2.970000000000000000e+04 2.278571428571428612e+02
3.060000000000000000e+04 2.142857142857142776e+02
3.150000000000000000e+04 2.007142857142857224e+02
3.240000000000000000e+04 2.078571428571428612e+02
3.330000000000000000e+04 2.010000000000000000e+02
3.420000000000000000e+04 2.847142857142857224e+02
3.510000000000000000e+04 2.147142857142857224e+02
3.600000000000000000e+04 1.840000000000000000e+02
3.690000000000000000e+04 2.532857142857142776e+02
3.780000000000000000e+04 2.858571428571428328e+02
3.870000000000000000e+04 2.407142857142857224e+02
3.960000000000000000e+04 2.407142857142857224e+02
4.050000000000000000e+04 2.678571428571428328e+02
4.140000000000000000e+04 2.407142857142857224e+02
4.230000000000000000e+04 2.542857142857142776e+02
4.320000000000000000e+04 2.678571428571428328e+02
4.410000000000000000e+04 2.271428571428571388e+02
4.500000000000000000e+04 1.102928571428571331e+03
4.590000000000000000e+04 1.770714285714285779e+03
4.680000000000000000e+04 2.758571428571428328e+02
4.770000000000000000e+04 3.518571428571428328e+02
4.860000000000000000e+04 2.811428571428571672e+02
4.950000000000000000e+04 1.911428571428571388e+02
5.040000000000000000e+04 1.918571428571428612e+02
5.130000000000000000e+04 8.100000000000000000e+01
