#1 
double data(35040,2)
0.000000000000000000e+00 1.941251644218239676e+02
9.000000000000000000e+02 1.816717189067173877e+02
1.800000000000000000e+03 1.673357142857142605e+02
2.700000000000000000e+03 1.670071428571428953e+02
3.600000000000000000e+03 1.688142857142857451e+02
4.500000000000000000e+03 1.699642857142857508e+02
5.400000000000000000e+03 1.762071428571428555e+02
6.300000000000000000e+03 1.689571428571428839e+02
7.200000000000000000e+03 1.272428571428571331e+02
8.100000000000000000e+03 6.895714285714286973e+01
9.000000000000000000e+03 7.346428571428570820e+01
9.900000000000000000e+03 1.114500000000000313e+02
1.080000000000000000e+04 1.032928571428571587e+02
1.170000000000000000e+04 1.111928571428571360e+02
1.260000000000000000e+04 1.334000000000000057e+02
1.350000000000000000e+04 1.849142857142857679e+02
1.440000000000000000e+04 0.000000000000000000e+00
1.530000000000000000e+04 1.347142857142857153e+01
1.620000000000000000e+04 2.952142857142856869e+01
1.710000000000000000e+04 1.020571428571428498e+02
1.800000000000000000e+04 1.374357142857142833e+02
1.890000000000000000e+04 1.658571428571428612e+02
1.980000000000000000e+04 1.597785714285714391e+02
2.070000000000000000e+04 1.750571428571429067e+02
2.160000000000000000e+04 1.637214285714285609e+02
2.250000000000000000e+04 1.670071428571428953e+02
2.340000000000000000e+04 1.720999999999999943e+02
2.430000000000000000e+04 1.637214285714285893e+02
2.520000000000000000e+04 1.684857142857142946e+02
2.610000000000000000e+04 1.633928571428571672e+02
2.700000000000000000e+04 1.760428571428571729e+02
2.790000000000000000e+04 1.771928571428571502e+02
2.880000000000000000e+04 1.535357142857142776e+02
2.970000000000000000e+04 1.560000000000000284e+02
3.060000000000000000e+04 1.500499999999999829e+02
3.150000000000000000e+04 1.376142857142856997e+02
3.240000000000000000e+04 1.257214285714285609e+02
3.330000000000000000e+04 1.310571428571428498e+02
3.420000000000000000e+04 1.024357142857142975e+02
3.510000000000000000e+04 5.653571428571428470e+01
3.600000000000000000e+04 6.210000000000000853e+01
3.690000000000000000e+04 5.372142857142857508e+01
3.780000000000000000e+04 5.487142857142857366e+01
3.870000000000000000e+04 4.977857142857142492e+01
3.960000000000000000e+04 6.918571428571428328e+01
4.050000000000000000e+04 8.919285714285715017e+01
4.140000000000000000e+04 1.079214285714285779e+02
4.230000000000000000e+04 1.182428571428571473e+02
4.320000000000000000e+04 1.641500000000000057e+02
4.410000000000000000e+04 1.720999999999999943e+02
4.500000000000000000e+04 1.356214285714285666e+02
4.590000000000000000e+04 9.491428571428571104e+01
4.680000000000000000e+04 1.270000000000000000e+02
4.770000000000000000e+04 1.566285714285714619e+02
4.860000000000000000e+04 2.233000000000000114e+02
4.950000000000000000e+04 2.185357142857142208e+02
5.040000000000000000e+04 2.036928571428572070e+02
5.130000000000000000e+04 1.830285714285714107e+02
5.220000000000000000e+04 1.840714285714285836e+02
5.310000000000000000e+04 1.428714285714285666e+02
5.400000000000000000e+04 1.303785714285714334e+02
5.490000000000000000e+04 1.292285714285714278e+02
5.580000000000000000e+04 1.290499999999999829e+02
5.670000000000000000e+04 6.884600462100310381e+01
5.760000000000000000e+04 8.163230727896686290e+01
5.850000000000000000e+04 9.592516442182402159e+01
5.940000000000000000e+04 9.444659299325257962e+01
6.030000000000000000e+04 7.801802156468114902e+01
6.120000000000000000e+04 1.151480369680248401e+02
6.210000000000000000e+04 9.806087870753830771e+01
6.300000000000000000e+04 7.949659299325257678e+01
6.390000000000000000e+04 8.426087870753829634e+01
6.480000000000000000e+04 9.733459145291821812e+01
6.570000000000000000e+04 6.094999999999999574e+01
6.660000000000000000e+04 5.339285714285714590e+01
6.750000000000000000e+04 5.487142857142857366e+01
6.840000000000000000e+04 5.372142857142856798e+01
