Name of building;Number of neighbours;Number of floors;Volume of building[m3];        Area of building[m2];Groundfloor area[m2];Outerwall area[m2];Window area[m2];        Deleted wall area[m2];Innerwall area[m2];Floor area[m2];Total loss area (walls+windows+roof+groundfloor)[m2];Total loss area (every house is detached)[m2];        Building latitude [m]; Building longitude [m]; Building altitude [m] 
SimpleDistrict_1;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;56.0;72.0;0.0
SimpleDistrict_2;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;8.0;72.0;0.0
SimpleDistrict_3;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;32.0;72.0;0.0
SimpleDistrict_4;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;80.0;72.0;0.0
SimpleDistrict_5;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;8.0;48.0;0.0
SimpleDistrict_6;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;32.0;48.0;0.0
SimpleDistrict_7;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;80.0;48.0;0.0
SimpleDistrict_8;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;56.0;48.0;0.0
SimpleDistrict_9;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;56.0;24.0;0.0
SimpleDistrict_10;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;8.0;24.0;0.0
SimpleDistrict_11;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;32.0;24.0;0.0
SimpleDistrict_12;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;80.0;24.0;0.0
SimpleDistrict_13;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;80.0;0.0;0.0
SimpleDistrict_14;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;56.0;0.0;0.0
SimpleDistrict_15;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;32.0;0.0;0.0
SimpleDistrict_16;0;2;448.0;128.0;64.0;179.2;44.8;0;354.666666667;64.0;352.0;352.0;8.0;0.0;0.0
