#1 
double data(35040,2)
0.000000000000000000e+00 1.014500000000000028e+02
9.000000000000000000e+02 1.204571428571428413e+02
1.800000000000000000e+03 1.545142857142857054e+02
2.700000000000000000e+03 1.577142857142857508e+02
3.600000000000000000e+03 1.449000000000000341e+02
4.500000000000000000e+03 1.107999999999999972e+02
5.400000000000000000e+03 1.037142857142857082e+02
6.300000000000000000e+03 1.107999999999999972e+02
7.200000000000000000e+03 1.057714285714285722e+02
8.100000000000000000e+03 1.037142857142857082e+02
9.000000000000000000e+03 1.107999999999999972e+02
9.900000000000000000e+03 1.107999999999999972e+02
1.080000000000000000e+04 1.057714285714285722e+02
1.170000000000000000e+04 9.868571428571428328e+01
1.260000000000000000e+04 1.107999999999999829e+02
1.350000000000000000e+04 1.107999999999999972e+02
1.440000000000000000e+04 1.285714285714285809e+00
1.530000000000000000e+04 3.342857142857143060e+01
1.620000000000000000e+04 4.500000000000000000e+01
1.710000000000000000e+04 7.639999999999999147e+01
1.800000000000000000e+04 1.069428571428571502e+02
1.890000000000000000e+04 9.868571428571428328e+01
1.980000000000000000e+04 1.107999999999999972e+02
2.070000000000000000e+04 1.107999999999999972e+02
2.160000000000000000e+04 1.037142857142857082e+02
2.250000000000000000e+04 7.800000000000000000e+01
2.340000000000000000e+04 5.177142857142856514e+01
2.430000000000000000e+04 5.680000000000000426e+01
2.520000000000000000e+04 5.614285714285714590e+01
2.610000000000000000e+04 9.279999999999999716e+01
2.700000000000000000e+04 1.019142857142857110e+02
2.790000000000000000e+04 9.868571428571428328e+01
2.880000000000000000e+04 1.037142857142857082e+02
2.970000000000000000e+04 1.107999999999999972e+02
3.060000000000000000e+04 1.107999999999999829e+02
3.150000000000000000e+04 9.868571428571428328e+01
3.240000000000000000e+04 1.107999999999999972e+02
3.330000000000000000e+04 1.107999999999999972e+02
3.420000000000000000e+04 1.037142857142857082e+02
3.510000000000000000e+04 1.037142857142857082e+02
3.600000000000000000e+04 1.057714285714285722e+02
3.690000000000000000e+04 1.107999999999999972e+02
3.780000000000000000e+04 1.037142857142857082e+02
3.870000000000000000e+04 1.107999999999999972e+02
3.960000000000000000e+04 1.107999999999999972e+02
4.050000000000000000e+04 9.868571428571428328e+01
