Datetime;Area of dayzone / m2;Area of nightzone / m2;Q heating system building / W;TSensor of dayzone / K;TSensor of nightzone / K
0;64.0;64.0;6717.00927734;291.129486084;293.121307373
600;64.0;64.0;5563.94921875;291.133666992;293.125549316
1200;64.0;64.0;5396.57763672;291.134185791;293.126281738
1800;64.0;64.0;5287.72509766;291.134460449;293.126800537
2400;64.0;64.0;5213.00048828;291.134613037;293.127197266
3000;64.0;64.0;5160.50097656;291.134674072;293.127532959
3600;64.0;64.0;5123.58251953;291.134674072;293.1277771
4200;64.0;64.0;5097.73632812;291.134674072;293.127960205
4800;64.0;64.0;5079.64453125;291.134643555;293.128143311
5400;64.0;64.0;5067.33691406;291.134613037;293.128265381
6000;64.0;64.0;5059.3671875;291.13458252;293.128356934
6600;64.0;64.0;5054.68408203;291.134521484;293.128417969
7200;64.0;64.0;5052.50537109;291.134490967;293.128479004
7800;64.0;64.0;5052.60986328;291.134460449;293.128509521
8400;64.0;64.0;5054.83691406;291.134429932;293.128540039
9000;64.0;64.0;5058.37207031;291.134368896;293.128570557
9600;64.0;64.0;5062.30712891;291.134338379;293.128570557
10200;64.0;64.0;5065.671875;291.134307861;293.128570557
10800;64.0;64.0;5067.5078125;291.134277344;293.128570557
11400;64.0;64.0;5067.64550781;291.134277344;293.128601074
12000;64.0;64.0;5066.75732422;291.134277344;293.128601074
12600;64.0;64.0;5065.01660156;291.134277344;293.128631592
13200;64.0;64.0;5062.61181641;291.134277344;293.128631592
13800;64.0;64.0;5059.75048828;291.134277344;293.128662109
14400;64.0;64.0;5056.64990234;291.134277344;293.128662109
15000;64.0;64.0;5053.5703125;291.134277344;293.128692627
15600;64.0;64.0;5050.59277344;291.134307861;293.128692627
16200;64.0;64.0;5047.58203125;291.134307861;293.128723145
16800;64.0;64.0;5044.29394531;291.134307861;293.128723145
17400;64.0;64.0;5040.50292969;291.134338379;293.128753662
18000;64.0;64.0;5035.99365234;291.134338379;293.128753662
18600;64.0;64.0;5030.57275391;291.134368896;293.12878418
19200;64.0;64.0;5024.16650391;291.134368896;293.128814697
19800;64.0;64.0;5016.86230469;291.134399414;293.128845215
20400;64.0;64.0;5008.84521484;291.134429932;293.128875732
21000;64.0;64.0;5000.39404297;291.134460449;293.12890625
21600;64.0;64.0;4991.86035156;291.134490967;293.128936768
22200;64.0;64.0;4983.5234375;291.134521484;293.128967285
22800;64.0;64.0;4975.38085938;291.134552002;293.128997803
23400;64.0;64.0;4967.25048828;291.13458252;293.12902832
24000;64.0;64.0;4958.91015625;291.134613037;293.129058838
24600;64.0;64.0;4950.16064453;291.134643555;293.129089355
25200;64.0;64.0;2470.43066406;291.134674072;293.129119873
25800;64.0;64.0;0.0;290.893890381;292.703491211
26400;64.0;64.0;0.0;290.732635498;292.412445068
27000;64.0;64.0;0.0;290.612670898;292.19140625
27600;64.0;64.0;0.0;290.522247314;292.023651123
28200;64.0;64.0;0.0;290.454803467;291.896606445
28800;64.0;64.0;0.0;290.403961182;291.798583984
