Length [m],Inner Diameter [m],Insulation Thickness [m],Peak Load [kW],Total pressure loss [Pa/m],U-value [W/mK]
36.0,0.05,0.045,154.77823437520001,14391.962904608821,0.035
12.0,0.02,0.045,19.347279296900002,9515.793780397564,0.035
12.0,0.02,0.045,19.347279296900002,9515.793780397564,0.035
12.0,0.02,0.045,19.347279296900002,9515.793780397564,0.035
12.0,0.02,0.045,19.347279296900002,9515.793780397564,0.035
24.0,0.05,0.045,116.0836757814,5538.450725634324,0.035
24.0,0.04,0.0425,77.38911718760001,7921.773551787412,0.035
36.0,0.05,0.045,154.77823437520001,14391.962904608821,0.035
12.0,0.025,0.0425,19.347279296900002,3093.1603366346244,0.035
24.0,0.032,0.0465,38.694558593800004,6577.598503002326,0.035
12.0,0.02,0.045,19.347279296900002,9515.793780397564,0.035
12.0,0.02,0.045,19.347279296900002,9515.793780397564,0.035
12.0,0.02,0.045,19.347279296900002,9515.793780397564,0.035
12.0,0.02,0.045,19.347279296900002,9515.793780397564,0.035
12.0,0.02,0.045,19.347279296900002,9515.793780397564,0.035
24.0,0.05,0.045,116.0836757814,5538.450725634324,0.035
12.0,0.02,0.045,19.347279296900002,9515.793780397564,0.035
12.0,0.02,0.045,19.347279296900002,9515.793780397564,0.035
12.0,0.025,0.0425,19.347279296900002,3093.1603366346244,0.035
24.0,0.032,0.0465,38.694558593800004,6577.598503002326,0.035
24.0,0.04,0.0425,77.38911718760001,7921.773551787412,0.035
12.0,0.025,0.0425,19.347279296900002,3093.1603366346244,0.035
12.0,0.02,0.045,19.347279296900002,9515.793780397564,0.035
12.0,0.025,0.0425,19.347279296900002,3093.1603366346244,0.035
