Node,X-Position [m],Y-Position [m],Peak power [kW]
SimpleDistrict_7,80,48,19.3472793
SimpleDistrict_1,56,72,19.3472793
SimpleDistrict_13,80,0,19.3472793
h,68,0,154.7782344
SimpleDistrict_12,80,24,19.3472793
d,20,0,154.7782344
SimpleDistrict_6,32,48,19.3472793
SimpleDistrict_2,8,72,19.3472793
f,68,48,77.38911719
g,68,24,116.0836758
SimpleDistrict_8,56,48,19.3472793
i,44,-12,309.5564688
SimpleDistrict_16,8,0,19.3472793
SimpleDistrict_9,56,24,19.3472793
c,20,24,116.0836758
a,20,72,38.69455859
SimpleDistrict_5,8,48,19.3472793
SimpleDistrict_15,32,0,19.3472793
SimpleDistrict_14,56,0,19.3472793
b,20,48,77.38911719
SimpleDistrict_4,80,72,19.3472793
SimpleDistrict_10,8,24,19.3472793
SimpleDistrict_11,32,24,19.3472793
e,68,72,38.69455859
SimpleDistrict_3,32,72,19.3472793
SimpleDistrict_23,80,144,19.3472793
SimpleDistrict_17,56,168,19.3472793
SimpleDistrict_29,80,96,19.3472793
q,68,96,154.7782344
SimpleDistrict_28,80,120,19.3472793
m,20,96,154.7782344
SimpleDistrict_22,32,144,19.3472793
SimpleDistrict_18,8,168,19.3472793
o,68,144,77.38911719
p,68,120,116.0836758
SimpleDistrict_24,56,144,19.3472793
SimpleDistrict_32,8,96,19.3472793
SimpleDistrict_25,56,120,19.3472793
l,20,120,116.0836758
j,20,168,38.69455859
SimpleDistrict_21,8,144,19.3472793
SimpleDistrict_31,32,96,19.3472793
SimpleDistrict_30,56,96,19.3472793
k,20,144,77.38911719
SimpleDistrict_20,80,168,19.3472793
SimpleDistrict_26,8,120,19.3472793
SimpleDistrict_27,32,120,19.3472793
n,68,168,38.69455859
SimpleDistrict_19,32,168,19.3472793
