Beginning Node,Ending Node,Length [m],Inner Diameter [m],Insulation Thickness [m],Peak Load [kW],Total pressure loss [Pa/m],U-value [W/mK]
SimpleDistrict_1,e,12.0,0.025,0.11,19.347279296900002,3093.1603366346244,0.035
SimpleDistrict_4,e,12.0,0.025,0.11,19.347279296900002,3093.1603366346244,0.035
SimpleDistrict_13,h,12.0,0.02,0.11,19.347279296900002,9515.793780397564,0.035
g,h,24.0,0.05,0.14,116.0836757814,5538.450725634324,0.035
SimpleDistrict_10,c,12.0,0.02,0.11,19.347279296900002,9515.793780397564,0.035
h,i,36.0,0.05,0.14,154.77823437520001,14391.962904608821,0.035
SimpleDistrict_3,a,12.0,0.025,0.11,19.347279296900002,3093.1603366346244,0.035
c,d,24.0,0.05,0.14,116.0836757814,5538.450725634324,0.035
SimpleDistrict_2,a,12.0,0.025,0.11,19.347279296900002,3093.1603366346244,0.035
SimpleDistrict_8,f,12.0,0.02,0.11,19.347279296900002,9515.793780397564,0.035
SimpleDistrict_7,f,12.0,0.02,0.11,19.347279296900002,9515.793780397564,0.035
SimpleDistrict_15,d,12.0,0.02,0.11,19.347279296900002,9515.793780397564,0.035
f,g,24.0,0.04,0.125,77.38911718760001,7921.773551787412,0.035
d,i,36.0,0.05,0.14,154.77823437520001,14391.962904608821,0.035
SimpleDistrict_16,d,12.0,0.02,0.11,19.347279296900002,9515.793780397564,0.035
b,c,24.0,0.04,0.125,77.38911718760001,7921.773551787412,0.035
SimpleDistrict_14,h,12.0,0.02,0.11,19.347279296900002,9515.793780397564,0.035
a,b,24.0,0.032,0.125,38.694558593800004,6577.598503002326,0.035
SimpleDistrict_6,b,12.0,0.02,0.11,19.347279296900002,9515.793780397564,0.035
e,f,24.0,0.032,0.125,38.694558593800004,6577.598503002326,0.035
SimpleDistrict_9,g,12.0,0.02,0.11,19.347279296900002,9515.793780397564,0.035
SimpleDistrict_5,b,12.0,0.02,0.11,19.347279296900002,9515.793780397564,0.035
SimpleDistrict_11,c,12.0,0.02,0.11,19.347279296900002,9515.793780397564,0.035
SimpleDistrict_12,g,12.0,0.02,0.11,19.347279296900002,9515.793780397564,0.035
